testb0   ---D---- ---S---- CZ = ---Q---- CZ
00  0EC  7FFFFFFF FFFFFFFF 00 = 7FFFFFFF 00
00  0ED  7FFFFFFF FFFFFFFF 01 = 7FFFFFFF 01
00  0EE  7FFFFFFF FFFFFFFF 10 = 7FFFFFFF 00
00  0EF  7FFFFFFF FFFFFFFF 11 = 7FFFFFFF 01
00  0F0  80000000 FFFFFFFF 00 = 80000000 10
00  0F1  80000000 FFFFFFFF 01 = 80000000 11
00  0F2  80000000 FFFFFFFF 10 = 80000000 10
00  0F3  80000000 FFFFFFFF 11 = 80000000 11
00  0F4  80000001 FFFFFFFF 00 = 80000001 10
00  0F5  80000001 FFFFFFFF 01 = 80000001 11
00  0F6  80000001 FFFFFFFF 10 = 80000001 10
00  0F7  80000001 FFFFFFFF 11 = 80000001 11
00  0F8  FFFFFFFE FFFFFFFF 00 = FFFFFFFE 10
00  0F9  FFFFFFFE FFFFFFFF 01 = FFFFFFFE 11
00  0FA  FFFFFFFE FFFFFFFF 10 = FFFFFFFE 10
00  0FB  FFFFFFFE FFFFFFFF 11 = FFFFFFFE 11
00  0FC  FFFFFFFF FFFFFFFF 00 = FFFFFFFF 10
00  0FD  FFFFFFFF FFFFFFFF 01 = FFFFFFFF 11
00  0FE  FFFFFFFF FFFFFFFF 10 = FFFFFFFF 10
00  0FF  FFFFFFFF FFFFFFFF 11 = FFFFFFFF 11
testb1   ---D---- ---S---- CZ = ---Q---- CZ
01  000  00000000 00000000 00 = 00000000 00
01  001  00000000 00000000 01 = 00000000 01
01  002  00000000 00000000 10 = 00000000 00
01  003  00000000 00000000 11 = 00000000 01
01  004  00000001 00000000 00 = 00000001 00
01  005  00000001 00000000 01 = 00000001 01
01  006  00000001 00000000 10 = 00000001 10
01  007  00000001 00000000 11 = 00000001 11
01  008  00000002 00000000 00 = 00000002 00
01  009  00000002 00000000 01 = 00000002 01
01  00A  00000002 00000000 10 = 00000002 00
01  00B  00000002 00000000 11 = 00000002 01
01  00C  7FFFFFFF 00000000 00 = 7FFFFFFF 00
01  00D  7FFFFFFF 00000000 01 = 7FFFFFFF 01
01  00E  7FFFFFFF 00000000 10 = 7FFFFFFF 10
01  00F  7FFFFFFF 00000000 11 = 7FFFFFFF 11
01  010  80000000 00000000 00 = 80000000 00
01  011  80000000 00000000 01 = 80000000 01
01  012  80000000 00000000 10 = 80000000 00
01  013  80000000 00000000 11 = 80000000 01
01  014  80000001 00000000 00 = 80000001 00
01  015  80000001 00000000 01 = 80000001 01
01  016  80000001 00000000 10 = 80000001 10
01  017  80000001 00000000 11 = 80000001 11
01  018  FFFFFFFE 00000000 00 = FFFFFFFE 00
01  019  FFFFFFFE 00000000 01 = FFFFFFFE 01
01  01A  FFFFFFFE 00000000 10 = FFFFFFFE 00
01  01B  FFFFFFFE 00000000 11 = FFFFFFFE 01
01  01C  FFFFFFFF 00000000 00 = FFFFFFFF 00
01  01D  FFFFFFFF 00000000 01 = FFFFFFFF 01
01  01E  FFFFFFFF 00000000 10 = FFFFFFFF 10
01  01F  FFFFFFFF 00000000 11 = FFFFFFFF 11
01  020  00000000 00000001 00 = 00000000 00
01  021  00000000 00000001 01 = 00000000 01
01  022  00000000 00000001 10 = 00000000 00
01  023  00000000 00000001 11 = 00000000 01
01  024  00000001 00000001 00 = 00000001 00
01  025  00000001 00000001 01 = 00000001 01
01  026  00000001 00000001 10 = 00000001 00
01  027  00000001 00000001 11 = 00000001 01
01  028  00000002 00000001 00 = 00000002 00
01  029  00000002 00000001 01 = 00000002 01
01  02A  00000002 00000001 10 = 00000002 10
01  02B  00000002 00000001 11 = 00000002 11
01  02C  7FFFFFFF 00000001 00 = 7FFFFFFF 00
01  02D  7FFFFFFF 00000001 01 = 7FFFFFFF 01
01  02E  7FFFFFFF 00000001 10 = 7FFFFFFF 10
01  02F  7FFFFFFF 00000001 11 = 7FFFFFFF 11
01  030  80000000 00000001 00 = 80000000 00
01  031  80000000 00000001 01 = 80000000 01
01  032  80000000 00000001 10 = 80000000 00
01  033  80000000 00000001 11 = 80000000 01
01  034  80000001 00000001 00 = 80000001 00
01  035  80000001 00000001 01 = 80000001 01
01  036  80000001 00000001 10 = 80000001 00
01  037  80000001 00000001 11 = 80000001 01
01  038  FFFFFFFE 00000001 00 = FFFFFFFE 00
01  039  FFFFFFFE 00000001 01 = FFFFFFFE 01
01  03A  FFFFFFFE 00000001 10 = FFFFFFFE 10
01  03B  FFFFFFFE 00000001 11 = FFFFFFFE 11
01  03C  FFFFFFFF 00000001 00 = FFFFFFFF 00
01  03D  FFFFFFFF 00000001 01 = FFFFFFFF 01
01  03E  FFFFFFFF 00000001 10 = FFFFFFFF 10
01  03F  FFFFFFFF 00000001 11 = FFFFFFFF 11
01  040  00000000 00000002 00 = 00000000 00
01  041  00000000 00000002 01 = 00000000 01
01  042  00000000 00000002 10 = 00000000 00
01  043  00000000 00000002 11 = 00000000 01
01  044  00000001 00000002 00 = 00000001 00
01  045  00000001 00000002 01 = 00000001 01
01  046  00000001 00000002 10 = 00000001 00
01  047  00000001 00000002 11 = 00000001 01
01  048  00000002 00000002 00 = 00000002 00
01  049  00000002 00000002 01 = 00000002 01
01  04A  00000002 00000002 10 = 00000002 00
01  04B  00000002 00000002 11 = 00000002 01
01  04C  7FFFFFFF 00000002 00 = 7FFFFFFF 00
01  04D  7FFFFFFF 00000002 01 = 7FFFFFFF 01
01  04E  7FFFFFFF 00000002 10 = 7FFFFFFF 10
01  04F  7FFFFFFF 00000002 11 = 7FFFFFFF 11
01  050  80000000 00000002 00 = 80000000 00
01  051  80000000 00000002 01 = 80000000 01
01  052  80000000 00000002 10 = 80000000 00
01  053  80000000 00000002 11 = 80000000 01
01  054  80000001 00000002 00 = 80000001 00
01  055  80000001 00000002 01 = 80000001 01
01  056  80000001 00000002 10 = 80000001 00
01  057  80000001 00000002 11 = 80000001 01
01  058  FFFFFFFE 00000002 00 = FFFFFFFE 00
01  059  FFFFFFFE 00000002 01 = FFFFFFFE 01
01  05A  FFFFFFFE 00000002 10 = FFFFFFFE 10
01  05B  FFFFFFFE 00000002 11 = FFFFFFFE 11
01  05C  FFFFFFFF 00000002 00 = FFFFFFFF 00
01  05D  FFFFFFFF 00000002 01 = FFFFFFFF 01
01  05E  FFFFFFFF 00000002 10 = FFFFFFFF 10
01  05F  FFFFFFFF 00000002 11 = FFFFFFFF 11
01  060  00000000 7FFFFFFF 00 = 00000000 00
01  061  00000000 7FFFFFFF 01 = 00000000 01
01  062  00000000 7FFFFFFF 10 = 00000000 00
01  063  00000000 7FFFFFFF 11 = 00000000 01
01  064  00000001 7FFFFFFF 00 = 00000001 00
01  065  00000001 7FFFFFFF 01 = 00000001 01
01  066  00000001 7FFFFFFF 10 = 00000001 00
01  067  00000001 7FFFFFFF 11 = 00000001 01
01  068  00000002 7FFFFFFF 00 = 00000002 00
01  069  00000002 7FFFFFFF 01 = 00000002 01
01  06A  00000002 7FFFFFFF 10 = 00000002 00
01  06B  00000002 7FFFFFFF 11 = 00000002 01
01  06C  7FFFFFFF 7FFFFFFF 00 = 7FFFFFFF 00
01  06D  7FFFFFFF 7FFFFFFF 01 = 7FFFFFFF 01
01  06E  7FFFFFFF 7FFFFFFF 10 = 7FFFFFFF 00
01  06F  7FFFFFFF 7FFFFFFF 11 = 7FFFFFFF 01
01  070  80000000 7FFFFFFF 00 = 80000000 00
01  071  80000000 7FFFFFFF 01 = 80000000 01
01  072  80000000 7FFFFFFF 10 = 80000000 10
01  073  80000000 7FFFFFFF 11 = 80000000 11
01  074  80000001 7FFFFFFF 00 = 80000001 00
01  075  80000001 7FFFFFFF 01 = 80000001 01
01  076  80000001 7FFFFFFF 10 = 80000001 10
01  077  80000001 7FFFFFFF 11 = 80000001 11
01  078  FFFFFFFE 7FFFFFFF 00 = FFFFFFFE 00
01  079  FFFFFFFE 7FFFFFFF 01 = FFFFFFFE 01
01  07A  FFFFFFFE 7FFFFFFF 10 = FFFFFFFE 10
01  07B  FFFFFFFE 7FFFFFFF 11 = FFFFFFFE 11
01  07C  FFFFFFFF 7FFFFFFF 00 = FFFFFFFF 00
01  07D  FFFFFFFF 7FFFFFFF 01 = FFFFFFFF 01
01  07E  FFFFFFFF 7FFFFFFF 10 = FFFFFFFF 10
01  07F  FFFFFFFF 7FFFFFFF 11 = FFFFFFFF 11
01  080  00000000 80000000 00 = 00000000 00
01  081  00000000 80000000 01 = 00000000 01
01  082  00000000 80000000 10 = 00000000 00
01  083  00000000 80000000 11 = 00000000 01
01  084  00000001 80000000 00 = 00000001 00
01  085  00000001 80000000 01 = 00000001 01
01  086  00000001 80000000 10 = 00000001 10
01  087  00000001 80000000 11 = 00000001 11
01  088  00000002 80000000 00 = 00000002 00
01  089  00000002 80000000 01 = 00000002 01
01  08A  00000002 80000000 10 = 00000002 00
01  08B  00000002 80000000 11 = 00000002 01
01  08C  7FFFFFFF 80000000 00 = 7FFFFFFF 00
01  08D  7FFFFFFF 80000000 01 = 7FFFFFFF 01
01  08E  7FFFFFFF 80000000 10 = 7FFFFFFF 10
01  08F  7FFFFFFF 80000000 11 = 7FFFFFFF 11
01  090  80000000 80000000 00 = 80000000 00
01  091  80000000 80000000 01 = 80000000 01
01  092  80000000 80000000 10 = 80000000 00
01  093  80000000 80000000 11 = 80000000 01
01  094  80000001 80000000 00 = 80000001 00
01  095  80000001 80000000 01 = 80000001 01
01  096  80000001 80000000 10 = 80000001 10
01  097  80000001 80000000 11 = 80000001 11
01  098  FFFFFFFE 80000000 00 = FFFFFFFE 00
01  099  FFFFFFFE 80000000 01 = FFFFFFFE 01
01  09A  FFFFFFFE 80000000 10 = FFFFFFFE 00
01  09B  FFFFFFFE 80000000 11 = FFFFFFFE 01
01  09C  FFFFFFFF 80000000 00 = FFFFFFFF 00
