testb0   ---D---- ---S---- CZ = ---Q---- CZ
1C  04B  00000002 00000002 11 = 00000020 11
1C  04C  7FFFFFFF 00000002 00 = FFFFFFF0 00
1C  04D  7FFFFFFF 00000002 01 = FFFFFFF0 01
1C  04E  7FFFFFFF 00000002 10 = FFFFFFF0 10
1C  04F  7FFFFFFF 00000002 11 = FFFFFFF0 11
1C  050  80000000 00000002 00 = 00000000 00
1C  051  80000000 00000002 01 = 00000000 01
1C  052  80000000 00000002 10 = 00000000 10
1C  053  80000000 00000002 11 = 00000000 11
1C  054  80000001 00000002 00 = 00000010 00
1C  055  80000001 00000002 01 = 00000010 01
1C  056  80000001 00000002 10 = 00000010 10
1C  057  80000001 00000002 11 = 00000010 11
1C  058  FFFFFFFE 00000002 00 = FFFFFFE0 00
1C  059  FFFFFFFE 00000002 01 = FFFFFFE0 01
1C  05A  FFFFFFFE 00000002 10 = FFFFFFE0 10
1C  05B  FFFFFFFE 00000002 11 = FFFFFFE0 11
1C  05C  FFFFFFFF 00000002 00 = FFFFFFF0 00
1C  05D  FFFFFFFF 00000002 01 = FFFFFFF0 01
1C  05E  FFFFFFFF 00000002 10 = FFFFFFF0 10
1C  05F  FFFFFFFF 00000002 11 = FFFFFFF0 11
1C  060  00000000 7FFFFFFF 00 = 0000000F 00
1C  061  00000000 7FFFFFFF 01 = 0000000F 01
1C  062  00000000 7FFFFFFF 10 = 0000000F 10
1C  063  00000000 7FFFFFFF 11 = 0000000F 11
1C  064  00000001 7FFFFFFF 00 = 0000001F 00
1C  065  00000001 7FFFFFFF 01 = 0000001F 01
1C  066  00000001 7FFFFFFF 10 = 0000001F 10
1C  067  00000001 7FFFFFFF 11 = 0000001F 11
1C  068  00000002 7FFFFFFF 00 = 0000002F 00
1C  069  00000002 7FFFFFFF 01 = 0000002F 01
1C  06A  00000002 7FFFFFFF 10 = 0000002F 10
1C  06B  00000002 7FFFFFFF 11 = 0000002F 11
1C  06C  7FFFFFFF 7FFFFFFF 00 = FFFFFFFF 00
1C  06D  7FFFFFFF 7FFFFFFF 01 = FFFFFFFF 01
1C  06E  7FFFFFFF 7FFFFFFF 10 = FFFFFFFF 10
1C  06F  7FFFFFFF 7FFFFFFF 11 = FFFFFFFF 11
1C  070  80000000 7FFFFFFF 00 = 0000000F 00
1C  071  80000000 7FFFFFFF 01 = 0000000F 01
1C  072  80000000 7FFFFFFF 10 = 0000000F 10
1C  073  80000000 7FFFFFFF 11 = 0000000F 11
1C  074  80000001 7FFFFFFF 00 = 0000001F 00
1C  075  80000001 7FFFFFFF 01 = 0000001F 01
1C  076  80000001 7FFFFFFF 10 = 0000001F 10
1C  077  80000001 7FFFFFFF 11 = 0000001F 11
1C  078  FFFFFFFE 7FFFFFFF 00 = FFFFFFEF 00
1C  079  FFFFFFFE 7FFFFFFF 01 = FFFFFFEF 01
1C  07A  FFFFFFFE 7FFFFFFF 10 = FFFFFFEF 10
1C  07B  FFFFFFFE 7FFFFFFF 11 = FFFFFFEF 11
1C  07C  FFFFFFFF 7FFFFFFF 00 = FFFFFFFF 00
1C  07D  FFFFFFFF 7FFFFFFF 01 = FFFFFFFF 01
1C  07E  FFFFFFFF 7FFFFFFF 10 = FFFFFFFF 10
1C  07F  FFFFFFFF 7FFFFFFF 11 = FFFFFFFF 11
1C  080  00000000 80000000 00 = 00000000 00
1C  081  00000000 80000000 01 = 00000000 01
1C  082  00000000 80000000 10 = 00000000 10
1C  083  00000000 80000000 11 = 00000000 11
1C  084  00000001 80000000 00 = 00000010 00
1C  085  00000001 80000000 01 = 00000010 01
1C  086  00000001 80000000 10 = 00000010 10
1C  087  00000001 80000000 11 = 00000010 11
1C  088  00000002 80000000 00 = 00000020 00
1C  089  00000002 80000000 01 = 00000020 01
1C  08A  00000002 80000000 10 = 00000020 10
1C  08B  00000002 80000000 11 = 00000020 11
1C  08C  7FFFFFFF 80000000 00 = FFFFFFF0 00
1C  08D  7FFFFFFF 80000000 01 = FFFFFFF0 01
1C  08E  7FFFFFFF 80000000 10 = FFFFFFF0 10
1C  08F  7FFFFFFF 80000000 11 = FFFFFFF0 11
1C  090  80000000 80000000 00 = 00000000 00
1C  091  80000000 80000000 01 = 00000000 01
1C  092  80000000 80000000 10 = 00000000 10
1C  093  80000000 80000000 11 = 00000000 11
1C  094  80000001 80000000 00 = 00000010 00
1C  095  80000001 80000000 01 = 00000010 01
1C  096  80000001 80000000 10 = 00000010 10
1C  097  80000001 80000000 11 = 00000010 11
1C  098  FFFFFFFE 80000000 00 = FFFFFFE0 00
1C  099  FFFFFFFE 80000000 01 = FFFFFFE0 01
1C  09A  FFFFFFFE 80000000 10 = FFFFFFE0 10
1C  09B  FFFFFFFE 80000000 11 = FFFFFFE0 11
1C  09C  FFFFFFFF 80000000 00 = FFFFFFF0 00
1C  09D  FFFFFFFF 80000000 01 = FFFFFFF0 01
1C  09E  FFFFFFFF 80000000 10 = FFFFFFF0 10
1C  09F  FFFFFFFF 80000000 11 = FFFFFFF0 11
1C  0A0  00000000 80000001 00 = 00000000 00
1C  0A1  00000000 80000001 01 = 00000000 01
1C  0A2  00000000 80000001 10 = 00000000 10
1C  0A3  00000000 80000001 11 = 00000000 11
1C  0A4  00000001 80000001 00 = 00000010 00
1C  0A5  00000001 80000001 01 = 00000010 01
1C  0A6  00000001 80000001 10 = 00000010 10
1C  0A7  00000001 80000001 11 = 00000010 11
1C  0A8  00000002 80000001 00 = 00000020 00
1C  0A9  00000002 80000001 01 = 00000020 01
1C  0AA  00000002 80000001 10 = 00000020 10
1C  0AB  00000002 80000001 11 = 00000020 11
1C  0AC  7FFFFFFF 80000001 00 = FFFFFFF0 00
1C  0AD  7FFFFFFF 80000001 01 = FFFFFFF0 01
1C  0AE  7FFFFFFF 80000001 10 = FFFFFFF0 10
1C  0AF  7FFFFFFF 80000001 11 = FFFFFFF0 11
1C  0B0  80000000 80000001 00 = 00000000 00
1C  0B1  80000000 80000001 01 = 00000000 01
1C  0B2  80000000 80000001 10 = 00000000 10
1C  0B3  80000000 80000001 11 = 00000000 11
1C  0B4  80000001 80000001 00 = 00000010 00
1C  0B5  80000001 80000001 01 = 00000010 01
1C  0B6  80000001 80000001 10 = 00000010 10
1C  0B7  80000001 80000001 11 = 00000010 11
1C  0B8  FFFFFFFE 80000001 00 = FFFFFFE0 00
1C  0B9  FFFFFFFE 80000001 01 = FFFFFFE0 01
1C  0BA  FFFFFFFE 80000001 10 = FFFFFFE0 10
1C  0BB  FFFFFFFE 80000001 11 = FFFFFFE0 11
1C  0BC  FFFFFFFF 80000001 00 = FFFFFFF0 00
1C  0BD  FFFFFFFF 80000001 01 = FFFFFFF0 01
1C  0BE  FFFFFFFF 80000001 10 = FFFFFFF0 10
1C  0BF  FFFFFFFF 80000001 11 = FFFFFFF0 11
1C  0C0  00000000 FFFFFFFE 00 = 0000000F 00
1C  0C1  00000000 FFFFFFFE 01 = 0000000F 01
1C  0C2  00000000 FFFFFFFE 10 = 0000000F 10
1C  0C3  00000000 FFFFFFFE 11 = 0000000F 11
1C  0C4  00000001 FFFFFFFE 00 = 0000001F 00
1C  0C5  00000001 FFFFFFFE 01 = 0000001F 01
1C  0C6  00000001 FFFFFFFE 10 = 0000001F 10
1C  0C7  00000001 FFFFFFFE 11 = 0000001F 11
1C  0C8  00000002 FFFFFFFE 00 = 0000002F 00
1C  0C9  00000002 FFFFFFFE 01 = 0000002F 01
1C  0CA  00000002 FFFFFFFE 10 = 0000002F 10
1C  0CB  00000002 FFFFFFFE 11 = 0000002F 11
1C  0CC  7FFFFFFF FFFFFFFE 00 = FFFFFFFF 00
1C  0CD  7FFFFFFF FFFFFFFE 01 = FFFFFFFF 01
1C  0CE  7FFFFFFF FFFFFFFE 10 = FFFFFFFF 10
1C  0CF  7FFFFFFF FFFFFFFE 11 = FFFFFFFF 11
1C  0D0  80000000 FFFFFFFE 00 = 0000000F 00
1C  0D1  80000000 FFFFFFFE 01 = 0000000F 01
1C  0D2  80000000 FFFFFFFE 10 = 0000000F 10
1C  0D3  80000000 FFFFFFFE 11 = 0000000F 11
1C  0D4  80000001 FFFFFFFE 00 = 0000001F 00
1C  0D5  80000001 FFFFFFFE 01 = 0000001F 01
1C  0D6  80000001 FFFFFFFE 10 = 0000001F 10
1C  0D7  80000001 FFFFFFFE 11 = 0000001F 11
1C  0D8  FFFFFFFE FFFFFFFE 00 = FFFFFFEF 00
1C  0D9  FFFFFFFE FFFFFFFE 01 = FFFFFFEF 01
1C  0DA  FFFFFFFE FFFFFFFE 10 = FFFFFFEF 10
1C  0DB  FFFFFFFE FFFFFFFE 11 = FFFFFFEF 11
1C  0DC  FFFFFFFF FFFFFFFE 00 = FFFFFFFF 00
1C  0DD  FFFFFFFF FFFFFFFE 01 = FFFFFFFF 01
1C  0DE  FFFFFFFF FFFFFFFE 10 = FFFFFFFF 10
1C  0DF  FFFFFFFF FFFFFFFE 11 = FFFFFFFF 11
1C  0E0  00000000 FFFFFFFF 00 = 0000000F 00
1C  0E1  00000000 FFFFFFFF 01 = 0000000F 01
1C  0E2  00000000 FFFFFFFF 10 = 0000000F 10
1C  0E3  00000000 FFFFFFFF 11 = 0000000F 11
1C  0E4  00000001 FFFFFFFF 00 = 0000001F 00
1C  0E5  00000001 FFFFFFFF 01 = 0000001F 01
1C  0E6  00000001 FFFFFFFF 10 = 0000001F 10
1C  0E7  00000001 FFFFFFFF 11 = 0000001F 11
1C  0E8  00000002 FFFFFFFF 00 = 0000002F 00
1C  0E9  00000002 FFFFFFFF 01 = 0000002F 01
1C  0EA  00000002 FFFFFFFF 10 = 0000002F 10
1C  0EB  00000002 FFFFFFFF 11 = 0000002F 11
1C  0EC  7FFFFFFF FFFFFFFF 00 = FFFFFFFF 00
1C  0ED  7FFFFFFF FFFFFFFF 01 = FFFFFFFF 01
1C  0EE  7FFFFFFF FFFFFFFF 10 = FFFFFFFF 10
1C  0EF  7FFFFFFF FFFFFFFF 11 = FFFFFFFF 11
1C  0F0  80000000 FFFFFFFF 00 = 0000000F 00
1C  0F1  80000000 FFFFFFFF 01 = 0000000F 01
1C  0F2  80000000 FFFFFFFF 10 = 0000000F 10
1C  0F3  80000000 FFFFFFFF 11 = 0000000F 11
1C  0F4  80000001 FFFFFFFF 00 = 0000001F 00
1C  0F5  80000001 FFFFFFFF 01 = 0000001F 01
1C  0F6  80000001 FFFFFFFF 10 = 0000001F 10
1C  0F7  80000001 FFFFFFFF 11 = 0000001F 11
1C  0F8  FFFFFFFE FFFFFFFF 00 = FFFFFFEF 00
1C  0F9  FFFFFFFE FFFFFFFF 01 = FFFFFFEF 01
1C  0FA  FFFFFFFE FFFFFFFF 10 = FFFFFFEF 10
1C  0FB  FFFFFFFE FFFFFFFF 11 = FFFFFFEF 11
1C  0FC  FFFFFFFF FFFFFFFF 00 = FFFFFFFF 00
1C  0FD  FFFFFFFF FFFFFFFF 01 = FFFFFFFF 01
1C  0FE  FFFFFFFF FFFFFFFF 10 = FFFFFFFF 10
1C  0FF  FFFFFFFF FFFFFFFF 11 = FFFFFFFF 11
rolnib5  ---D---- ---S---- CZ = ---Q---- CZ
1D  000  00000000 00000000 00 = 00000000 00
1D  001  00000000 00000000 01 = 00000000 01
1D  002  00000000 00000000 10 = 00000000 10
1D  003  00000000 00000000 11 = 00000000 11
1D  004  00000001 00000000 00 = 00000010 00
1D  005  00000001 00000000 01 = 00000010 01
1D  006  00000001 00000000 10 = 00000010 10
1D  007  00000001 00000000 11 = 00000010 11
1D  008  00000002 00000000 00 = 00000020 00
1D  009  00000002 00000000 01 = 00000020 01
1D  00A  00000002 00000000 10 = 00000020 10
1D  00B  00000002 00000000 11 = 00000020 11
1D  00C  7FFFFFFF 00000000 00 = FFFFFFF0 00
1D  00D  7FFFFFFF 00000000 01 = FFFFFFF0 01
1D  00E  7FFFFFFF 00000000 10 = FFFFFFF0 10
1D  00F  7FFFFFFF 00000000 11 = FFFFFFF0 11
1D  010  80000000 00000000 00 = 00000000 00
1D  011  80000000 00000000 01 = 00000000 01
1D  012  80000000 00000000 10 = 00000000 10
1D  013  80000000 00000000 11 = 00000000 11
1D  014  80000001 00000000 00 = 00000010 00
1D  015  80000001 00000000 01 = 00000010 01
1D  016  80000001 00000000 10 = 00000010 10
1D  017  80000001 00000000 11 = 00000010 11
1D  018  FFFFFFFE 00000000 00 = FFFFFFE0 00
1D  019  FFFFFFFE 00000000 01 = FFFFFFE0 01
1D  01A  FFFFFFFE 00000000 10 = FFFFFFE0 10
1D  01B  FFFFFFFE 00000000 11 = FFFFFFE0 11
1D  01C  FFFFFFFF 00000000 00 = FFFFFFF0 00
1D  01D  FFFFFFFF 00000000 01 = FFFFFFF0 01
1D  01E  FFFFFFFF 00000000 10 = FFFFFFF0 10
1D  01F  FFFFFFFF 00000000 11 = FFFFFFF0 11
1D  020  00000000 00000001 00 = 00000000 00
1D  021  00000000 00000001 01 = 00000000 01
1D  022  00000000 00000001 10 = 00000000 10
1D  023  00000000 00000001 11 = 00000000 11
1D  024  00000001 00000001 00 = 00000010 00
1D  025  00000001 00000001 01 = 00000010 01
1D  026  00000001 00000001 10 = 00000010 10
1D  027  00000001 00000001 11 = 00000010 11
1D  028  00000002 00000001 00 = 00000020 00
1D  029  00000002 00000001 01 = 00000020 01
1D  02A  00000002 00000001 10 = 00000020 10
1D  02B  00000002 00000001 11 = 00000020 11
1D  02C  7FFFFFFF 00000001 00 = FFFFFFF0 00
1D  02D  7FFFFFFF 00000001 01 = FFFFFFF0 01
1D  02E  7FFFFFFF 00000001 10 = FFFFFFF0 10
1D  02F  7FFFFFFF 00000001 11 = FFFFFFF0 11
1D  030  80000000 00000001 00 = 00000000 00
1D  031  80000000 00000001 01 = 00000000 01
1D  032  80000000 00000001 10 = 00000000 10
1D  033  80000000 00000001 11 = 00000000 11
1D  034  80000001 00000001 00 = 00000010 00
1D  035  80000001 00000001 01 = 00000010 01
1D  036  80000001 00000001 10 = 00000010 10
1D  037  80000001 00000001 11 = 00000010 11
1D  038  FFFFFFFE 00000001 00 = FFFFFFE0 00
1D  039  FFFFFFFE 00000001 01 = FFFFFFE0 01
1D  03A  FFFFFFFE 00000001 10 = FFFFFFE0 10
1D  03B  FFFFFFFE 00000001 11 = FFFFFFE0 11
1D  03C  FFFFFFFF 00000001 00 = FFFFFFF0 00
1D  03D  FFFFFFFF 00000001 01 = FFFFFFF0 01
1D  03E  FFFFFFFF 00000001 10 = FFFFFFF0 10
1D  03F  FFFFFFFF 00000001 11 = FFFFFFF0 11
1D  040  00000000 00000002 00 = 00000000 00
1D  041  00000000 00000002 01 = 00000000 01
1D  042  00000000 00000002 10 = 00000000 10
1D  043  00000000 00000002 11 = 00000000 11
1D  044  00000001 00000002 00 = 00000010 00
1D  045  00000001 00000002 01 = 00000010 01
1D  046  00000001 00000002 10 = 00000010 10
1D  047  00000001 00000002 11 = 00000010 11
1D  048  00000002 00000002 00 = 00000020 00
1D  049  00000002 00000002 01 = 00000020 01
1D  04A  00000002 00000002 10 = 00000020 10
1D  04B  00000002 00000002 11 = 00000020 11
1D  04C  7FFFFFFF 00000002 00 = FFFFFFF0 00
1D  04D  7FFFFFFF 00000002 01 = FFFFFFF0 01
1D  04E  7FFFFFFF 00000002 10 = FFFFFFF0 10
1D  04F  7FFFFFFF 00000002 11 = FFFFFFF0 11
1D  050  80000000 00000002 00 = 00000000 00
1D  051  80000000 00000002 01 = 00000000 01
1D  052  80000000 00000002 10 = 00000000 10
1D  053  80000000 00000002 11 = 00000000 11
1D  054  80000001 00000002 00 = 00000010 00
1D  055  80000001 00000002 01 = 00000010 01
1D  056  80000001 00000002 10 = 00000010 10
1D  057  80000001 00000002 11 = 00000010 11
1D  058  FFFFFFFE 00000002 00 = FFFFFFE0 00
1D  059  FFFFFFFE 00000002 01 = FFFFFFE0 01
1D  05A  FFFFFFFE 00000002 10 = FFFFFFE0 10
1D  05B  FFFFFFFE 00000002 11 = FFFFFFE0 11
1D  05C  FFFFFFFF 00000002 00 = FFFFFFF0 00
1D  05D  FFFFFFFF 00000002 01 = FFFFFFF0 01
1D  05E  FFFFFFFF 00000002 10 = FFFFFFF0 10
1D  05F  FFFFFFFF 00000002 11 = FFFFFFF0 11
1D  060  00000000 7FFFFFFF 00 = 0000000F 00
1D  061  00000000 7FFFFFFF 01 = 0000000F 01
1D  062  00000000 7FFFFFFF 10 = 0000000F 10
1D  063  00000000 7FFFFFFF 11 = 0000000F 11
1D  064  00000001 7FFFFFFF 00 = 0000001F 00
1D  065  00000001 7FFFFFFF 01 = 0000001F 01
1D  066  00000001 7FFFFFFF 10 = 0000001F 10
1D  067  00000001 7FFFFFFF 11 = 0000001F 11
1D  068  00000002 7FFFFFFF 00 = 0000002F 00
1D  069  00000002 7FFFFFFF 01 = 0000002F 01
1D  06A  00000002 7FFFFFFF 10 = 0000002F 10
1D  06B  00000002 7FFFFFFF 11 = 0000002F 11
1D  06C  7FFFFFFF 7FFFFFFF 00 = FFFFFFFF 00
1D  06D  7FFFFFFF 7FFFFFFF 01 = FFFFFFFF 01
1D  06E  7FFFFFFF 7FFFFFFF 10 = FFFFFFFF 10
1D  06F  7FFFFFFF 7FFFFFFF 11 = FFFFFFFF 11
1D  070  80000000 7FFFFFFF 00 = 0000000F 00
1D  071  80000000 7FFFFFFF 01 = 0000000F 01
1D  072  80000000 7FFFFFFF 10 = 0000000F 10
1D  073  80000000 7FFFFFFF 11 = 0000000F 11
1D  074  80000001 7FFFFFFF 00 = 0000001F 00
1D  075  80000001 7FFFFFFF 01 = 0000001F 01
1D  076  80000001 7FFFFFFF 10 = 0000001F 10
1D  077  80000001 7FFFFFFF 11 = 0000001F 11
1D  078  FFFFFFFE 7FFFFFFF 00 = FFFFFFEF 00
1D  079  FFFFFFFE 7FFFFFFF 01 = FFFFFFEF 01
1D  07A  FFFFFFFE 7FFFFFFF 10 = FFFFFFEF 10
1D  07B  FFFFFFFE 7FFFFFFF 11 = FFFFFFEF 11
1D  07C  FFFFFFFF 7FFFFFFF 00 = FFFFFFFF 00
1D  07D  FFFFFFFF 7FFFFFFF 01 = FFFFFFFF 01
1D  07E  FFFFFFFF 7FFFFFFF 10 = FFFFFFFF 10
1D  07F  FFFFFFFF 7FFFFFFF 11 = FFFFFFFF 11
1D  080  00000000 80000000 00 = 00000000 00
1D  081  00000000 80000000 01 = 00000000 01
1D  082  00000000 80000000 10 = 00000000 10
1D  083  00000000 80000000 11 = 00000000 11
1D  084  00000001 80000000 00 = 00000010 00
1D  085  00000001 80000000 01 = 00000010 01
1D  086  00000001 80000000 10 = 00000010 10
1D  087  00000001 80000000 11 = 00000010 11
1D  088  00000002 80000000 00 = 00000020 00
1D  089  00000002 80000000 01 = 00000020 01
1D  08A  00000002 80000000 10 = 00000020 10
1D  08B  00000002 80000000 11 = 00000020 11
1D  08C  7FFFFFFF 80000000 00 = FFFFFFF0 00
1D  08D  7FFFFFFF 80000000 01 = FFFFFFF0 01
1D  08E  7FFFFFFF 80000000 10 = FFFFFFF0 10
1D  08F  7FFFFFFF 80000000 11 = FFFFFFF0 11
1D  090  80000000 80000000 00 = 00000000 00
1D  091  80000000 80000000 01 = 00000000 01
1D  092  80000000 80000000 10 = 00000000 10
1D  093  80000000 80000000 11 = 00000000 11
1D  094  80000001 80000000 00 = 00000010 00
1D  095  80000001 80000000 01 = 00000010 01
1D  096  80000001 80000000 10 = 00000010 10
1D  097  80000001 80000000 11 = 00000010 11
1D  098  FFFFFFFE 80000000 00 = FFFFFFE0 00
1D  099  FFFFFFFE 80000000 01 = FFFFFFE0 01
1D  09A  FFFFFFFE 80000000 10 = FFFFFFE0 10
1D  09B  FFFFFFFE 80000000 11 = FFFFFFE0 11
1D  09C  FFFFFFFF 80000000 00 = FFFFFFF0 00
1D  09D  FFFFFFFF 80000000 01 = FFFFFFF0 01
1D  09E  FFFFFFFF 80000000 10 = FFFFFFF0 10
1D  09F  FFFFFFFF 80000000 11 = FFFFFFF0 11
1D  0A0  00000000 80000001 00 = 00000000 00
1D  0A1  00000000 80000001 01 = 00000000 01
1D  0A2  00000000 80000001 10 = 00000000 10
1D  0A3  00000000 80000001 11 = 00000000 11
1D  0A4  00000001 80000001 00 = 00000010 00
1D  0A5  00000001 80000001 01 = 00000010 01
1D  0A6  00000001 80000001 10 = 00000010 10
1D  0A7  00000001 80000001 11 = 00000010 11
1D  0A8  00000002 80000001 00 = 00000020 00
1D  0A9  00000002 80000001 01 = 00000020 01
1D  0AA  00000002 80000001 10 = 00000020 10
1D  0AB  00000002 80000001 11 = 00000020 11
1D  0AC  7FFFFFFF 80000001 00 = FFFFFFF0 00
1D  0AD  7FFFFFFF 80000001 01 = FFFFFFF0 01
1D  0AE  7FFFFFFF 80000001 10 = FFFFFFF0 10
1D  0AF  7FFFFFFF 80000001 11 = FFFFFFF0 11
1D  0B0  80000000 80000001 00 = 00000000 00
1D  0B1  80000000 80000001 01 = 00000000 01
1D  0B2  80000000 80000001 10 = 00000000 10
1D  0B3  80000000 80000001 11 = 00000000 11
1D  0B4  80000001 80000001 00 = 00000010 00
1D  0B5  80000001 80000001 01 = 00000010 01
1D  0B6  80000001 80000001 10 = 00000010 10
1D  0B7  80000001 80000001 11 = 00000010 11
1D  0B8  FFFFFFFE 80000001 00 = FFFFFFE0 00
1D  0B9  FFFFFFFE 80000001 01 = FFFFFFE0 01
1D  0BA  FFFFFFFE 80000001 10 = FFFFFFE0 10
1D  0BB  FFFFFFFE 80000001 11 = FFFFFFE0 11
1D  0BC  FFFFFFFF 80000001 00 = FFFFFFF0 00
1D  0BD  FFFFFFFF 80000001 01 = FFFFFFF0 01
1D  0BE  FFFFFFFF 80000001 10 = FFFFFFF0 10
1D  0BF  FFFFFFFF 80000001 11 = FFFFFFF0 11
1D  0C0  00000000 FFFFFFFE 00 = 0000000F 00
1D  0C1  00000000 FFFFFFFE 01 = 0000000F 01
1D  0C2  00000000 FFFFFFFE 10 = 0000000F 10
1D  0C3  00000000 FFFFFFFE 11 = 0000000F 11
1D  0C4  00000001 FFFFFFFE 00 = 0000001F 00
1D  0C5  00000001 FFFFFFFE 01 = 0000001F 01
1D  0C6  00000001 FFFFFFFE 10 = 0000001F 10
1D  0C7  00000001 FFFFFFFE 11 = 0000001F 11
1D  0C8  00000002 FFFFFFFE 00 = 0000002F 00
1D  0C9  00000002 FFFFFFFE 01 = 0000002F 01
1D  0CA  00000002 FFFFFFFE 10 = 0000002F 10
1D  0CB  00000002 FFFFFFFE 11 = 0000002F 11
1D  0CC  7FFFFFFF FFFFFFFE 00 = FFFFFFFF 00
1D  0CD  7FFFFFFF FFFFFFFE 01 = FFFFFFFF 01
1D  0CE  7FFFFFFF FFFFFFFE 10 = FFFFFFFF 10
1D  0CF  7FFFFFFF FFFFFFFE 11 = FFFFFFFF 11
1D  0D0  80000000 FFFFFFFE 00 = 0000000F 00
1D  0D1  80000000 FFFFFFFE 01 = 0000000F 01
1D  0D2  80000000 FFFFFFFE 10 = 0000000F 10
1D  0D3  80000000 FFFFFFFE 11 = 0000000F 11
1D  0D4  80000001 FFFFFFFE 00 = 0000001F 00
1D  0D5  80000001 FFFFFFFE 01 = 0000001F 01
1D  0D6  80000001 FFFFFFFE 10 = 0000001F 10
1D  0D7  80000001 FFFFFFFE 11 = 0000001F 11
1D  0D8  FFFFFFFE FFFFFFFE 00 = FFFFFFEF 00
1D  0D9  FFFFFFFE FFFFFFFE 01 = FFFFFFEF 01
1D  0DA  FFFFFFFE FFFFFFFE 10 = FFFFFFEF 10
1D  0DB  FFFFFFFE FFFFFFFE 11 = FFFFFFEF 11
1D  0DC  FFFFFFFF FFFFFFFE 00 = FFFFFFFF 00
1D  0DD  FFFFFFFF FFFFFFFE 01 = FFFFFFFF 01
1D  0DE  FFFFFFFF FFFFFFFE 10 = FFFFFFFF 10
1D  0DF  FFFFFFFF FFFFFFFE 11 = FFFFFFFF 11
1D  0E0  00000000 FFFFFFFF 00 = 0000000F 00
1D  0E1  00000000 FFFFFFFF 01 = 0000000F 01
1D  0E2  00000000 FFFFFFFF 10 = 0000000F 10
1D  0E3  00000000 FFFFFFFF 11 = 0000000F 11
1D  0E4  00000001 FFFFFFFF 00 = 0000001F 00
1D  0E5  00000001 FFFFFFFF 01 = 0000001F 01
1D  0E6  00000001 FFFFFFFF 10 = 0000001F 10
1D  0E7  00000001 FFFFFFFF 11 = 0000001F 11
1D  0E8  00000002 FFFFFFFF 00 = 0000002F 00
1D  0E9  00000002 FFFFFFFF 01 = 0000002F 01
1D  0EA  00000002 FFFFFFFF 10 = 0000002F 10
1D  0EB  00000002 FFFFFFFF 11 = 0000002F 11
1D  0EC  7FFFFFFF FFFFFFFF 00 = FFFFFFFF 00
1D  0ED  7FFFFFFF FFFFFFFF 01 = FFFFFFFF 01
1D  0EE  7FFFFFFF FFFFFFFF 10 = FFFFFFFF 10
1D  0EF  7FFFFFFF FFFFFFFF 11 = FFFFFFFF 11
1D  0F0  80000000 FFFFFFFF 00 = 0000000F 00
1D  0F1  80000000 FFFFFFFF 01 = 0000000F 01
1D  0F2  80000000 FFFFFFFF 10 = 0000000F 10
1D  0F3  80000000 FFFFFFFF 11 = 0000000F 11
1D  0F4  80000001 FFFFFFFF 00 = 0000001F 00
1D  0F5  80000001 FFFFFFFF 01 = 0000001F 01
1D  0F6  80000001 FFFFFFFF 10 = 0000001F 10
1D  0F7  80000001 FFFFFFFF 11 = 0000001F 11
1D  0F8  FFFFFFFE FFFFFFFF 00 = FFFFFFEF 00
1D  0F9  FFFFFFFE FFFFFFFF 01 = FFFFFFEF 01
1D  0FA  FFFFFFFE FFFFFFFF 10 = FFFFFFEF 10
1D  0FB  FFFFFFFE FFFFFFFF 11 = FFFFFFEF 11
1D  0FC  FFFFFFFF FFFFFFFF 00 = FFFFFFFF 00
1D  0FD  FFFFFFFF FFFFFFFF 01 = FFFFFFFF 01
1D  0FE  FFFFFFFF FFFFFFFF 10 = FFFFFFFF 10
1D  0FF  FFFFFFFF FFFFFFFF 11 = FFFFFFFF 11
rolnib6  ---D---- ---S---- CZ = ---Q---- CZ
1E  000  00000000 00000000 00 = 00000000 00
1E  001  00000000 00000000 01 = 00000000 01
1E  002  00000000 00000000 10 = 00000000 10
1E  003  00000000 00000000 11 = 00000000 11
1E  004  00000001 00000000 00 = 00000010 00
1E  005  00000001 00000000 01 = 00000010 01
1E  006  00000001 00000000 10 = 00000010 10
1E  007  00000001 00000000 11 = 00000010 11
1E  008  00000002 00000000 00 = 00000020 00
1E  009  00000002 00000000 01 = 00000020 01
1E  00A  00000002 00000000 10 = 00000020 10
1E  00B  00000002 00000000 11 = 00000020 11
1E  00C  7FFFFFFF 00000000 00 = FFFFFFF0 00
1E  00D  7FFFFFFF 00000000 01 = FFFFFFF0 01
1E  00E  7FFFFFFF 00000000 10 = FFFFFFF0 10
1E  00F  7FFFFFFF 00000000 11 = FFFFFFF0 11
1E  010  80000000 00000000 00 = 00000000 00
1E  011  80000000 00000000 01 = 00000000 01
1E  012  80000000 00000000 10 = 00000000 10
1E  013  80000000 00000000 11 = 00000000 11
1E  014  80000001 00000000 00 = 00000010 00
1E  015  80000001 00000000 01 = 00000010 01
1E  016  80000001 00000000 10 = 00000010 10
1E  017  80000001 00000000 11 = 00000010 11
1E  018  FFFFFFFE 00000000 00 = FFFFFFE0 00
1E  019  FFFFFFFE 00000000 01 = FFFFFFE0 01
1E  01A  FFFFFFFE 00000000 10 = FFFFFFE0 10
1E  01B  FFFFFFFE 00000000 11 = FFFFFFE0 11
1E  01C  FFFFFFFF 00000000 00 = FFFFFFF0 00
1E  01D  FFFFFFFF 00000000 01 = FFFFFFF0 01
1E  01E  FFFFFFFF 00000000 10 = FFFFFFF0 10
